parameter,lot_id,date,Owner
DLW_N_LVT_200_280_DDB_4_Ssat_M1,A2U0K,2022-09-30,Device
PL032S_bit_PU_R_Vtsat_M1,A2U0K,2022-09-30,SRAM
PL032S_bit_PU_R_Vtlin_M1,A2U0K,2022-09-30,SRAM
PL032S_bit_PU_R_Idsat_M1,A2U0K,2022-09-30,SRAM
PL032S_FET_PU_Vtsat_M1,A2U0K,2022-09-30,SRAM
PL032S_FET_PU_Vtlin_M1,A2U0K,2022-09-30,SRAM
PL032S_FET_PU_Idsat_M1,A2U0K,2022-09-30,SRAM
PL032S_FET_PU_Idlin_M1,A2U0K,2022-09-30,SRAM
DLW_N_EG_150_230_DDB_4_Iginv@1.8V_M1,A2U0K,2022-09-30,Device
DLW_N_EGU_80_160_DDB_4_Iginv@1.2V_M1,A2U0K,2022-09-30,Device
DLW_N_EGV_100_180_DDB_4_Iginv@1.5V_M1,A2U0K,2022-09-30,Device
P032_4FET_Gamma_M1,A2U0K,2022-09-30,SRAM
DLW_N_LVT_40_100_DDB_4_Ssat_M1,A2PZ1,2022-08-14,Device
DLW_N_LVT_70_150_DDB_4_Ssat_M1,A2PZ1,2022-08-14,Device
DLW_N_LVT_100_180_DDB_4_Ioffs@0.75V_M1,A2PZ1,2022-08-14,Device
DLW_N_LVT_70_150_DDB_4_Ioffd@0.75V_M1,A2R52,2022-08-08,Device
DLW_N_LVT_70_150_DDB_4_Ilow@0.75V_M1,A2R52,2022-08-08,Device
DLW_N_EG_200_280_DDB_4_Idsat@1.8V_M1,A2R52,2022-08-08,Device
DLW_N_EG_200_280_DDB_4_Ilow@1.8V_M1,A2R52,2022-08-08,Device
TPLL053_1b_RPG_Vtlin_M1,A2PYY,2022-08-06,SRAM
Cap_N_type_LVT_20_200_280_20400_Iginv@1V_M1,A2BZY,2022-08-05,Device
Cap_P_type_EG_20_150_230_14000_Ij@1.8V_M1,A2BZY,2022-08-05,Device
DLW_N_LVT_70_150_DDB_4_Ihigh@0.75V_M1,A2BZY,2022-08-05,Device
DLW_N_LVT_150_230_DDB_4_Iginv@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_30_90_DDB_4_Idsat@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_30_90_DDB_4_Ihigh@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_30_90_DDB_4_Ilow@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_40_100_DDB_4_Idsat@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_40_100_DDB_4_Ihigh@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_70_150_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_70_150_DDB_4_Ihigh@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.4Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.5Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_100_180_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_100_180_DDB_4_Ihigh@0.75V_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.4Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.5Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_150_230_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.4Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.5Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_200_280_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.4Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.5Vod_M1,A2BZY,2022-08-05,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.8Vod_M1,A2BZY,2022-08-05,Device
DLW_N_EGU_80_160_DDB_4_Idsat@1.2V_M1,A2BZY,2022-08-05,Device
DLW_N_EGU_80_160_DDB_4_Ihigh@1.2V_M1,A2BZY,2022-08-05,Device
DLW_N_EGU_80_160_DDB_4_Ilow@1.2V_M1,A2BZY,2022-08-05,Device
DLW_N_EGU_80_160_DDB_4_Vtsat@1.2V_M1,A2BZY,2022-08-05,Device
DLW_N_EGV_100_180_DDB_4_Ilow@1.5V_M1,A2BZY,2022-08-05,Device
DLW_N_EG_150_230_DDB_4_Ilow@1.8V_M1,A2BZY,2022-08-05,Device
egncap_0.15_Cgd@Vgd=0V_1M_M1,A2BZY,2022-08-05,Device
egncap_0.15_Cgd@Vgd=-1.2V_1M_M1,A2BZY,2022-08-05,Device
DLW_P_EGU_80_160_DDB_4_Gm2_M1,A2BZY,2022-08-05,Device
DLW_P_EGU_80_160_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_EGV_100_180_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_EG_150_230_DDB_4_Gm2_M1,A2BZY,2022-08-05,Device
DLW_P_EG_150_230_DDB_4_Ihigh@1.8V_M1,A2BZY,2022-08-05,Device
DLW_P_EG_200_280_DDB_4_Gm2_M1,A2BZY,2022-08-05,Device
DLW_P_EG_200_280_DDB_4_Idlin_M1,A2BZY,2022-08-05,Device
DLW_P_EG_200_280_DDB_4_Ihigh@1.8V_M1,A2BZY,2022-08-05,Device
P032_bit_PD_L_Vtsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_R_Vtsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PG_R_Vtsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_L_Vtlin_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_R_Vtlin_M1,A2BZY,2022-08-05,SRAM
P032_bit_PG_R_Vtlin_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_L_Idsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_R_Idsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PG_R_Idsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PU_R_Idsat_M1,A2BZY,2022-08-05,SRAM
P032_bit_PD_R_Idlin_M1,A2BZY,2022-08-05,SRAM
P032_bit_PG_R_Idlin_M1,A2BZY,2022-08-05,SRAM
P032_bit_PU_R_Idlin_M1,A2BZY,2022-08-05,SRAM
P032_IREAD_R_M1,A2BZY,2022-08-05,SRAM
PL032S_bit_PD_R_Vtsat_M1,A2BZY,2022-08-05,SRAM
PL032S_bit_PG_R_Vtsat_M1,A2BZY,2022-08-05,SRAM
