parameter,lot_id,date,Owner
SP_HCI_after_lin_095_LT,AZCDK,2022-11-02,REL
DLW_P_LVT_200_280_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.5Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.5Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.5Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.4Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_40_100_DDB_4_Idlin_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.8Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.5Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.4Vod_LT,AZCDK,2022-11-01,Device
DLW_P_LVT_30_90_DDB_4_Idlin_LT,AZCDK,2022-11-01,Device
EP_HCI_before_lin_LT,A2ABD,2022-10-13,REL
SGP_NBTI_08_40F_U_PreVt_LT,A2ABD,2022-10-13,REL
DLW_P_EG_200_280_DDB_4_Ihigh@1.8V_LT,A2ABD,2022-10-12,Device
DLW_P_EG_200_280_DDB_4_Idlin_LT,A2ABD,2022-10-12,Device
DLW_P_EG_150_230_DDB_4_Ihigh@1.8V_LT,A2ABD,2022-10-12,Device
DLW_P_EG_150_230_DDB_4_Idlin_LT,A2ABD,2022-10-12,Device
DLW_P_EGV_100_180_DDB_4_Idlin_LT,A2ABD,2022-10-12,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.5Vod_LT,A2ABD,2022-10-12,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.4Vod_LT,A2ABD,2022-10-12,Device
