parameter,lot_id,date,Owner
P032_bit_PD_R_Vtsat_M5,A2BZY,2022-08-23,SRAM
P032_bit_PD_R_Vtlin_M5,A2BZY,2022-08-23,SRAM
P032_bit_PD_L_Idsat_M5,A2BZY,2022-08-23,SRAM
P032_bit_PD_R_Idsat_M5,A2BZY,2022-08-23,SRAM
P032_bit_PG_R_Idsat_M5,A2BZY,2022-08-23,SRAM
P032_bit_PD_R_Idlin_M5,A2BZY,2022-08-23,SRAM
P032_bit_PG_R_Idlin_M5,A2BZY,2022-08-23,SRAM
P032_FET_PG_Vtsat_M5,A2BZY,2022-08-23,SRAM
P032_FET_PG_Vtlin_M5,A2BZY,2022-08-23,SRAM
P032_IREAD_R_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PD_R_Vtsat_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PG_R_Vtsat_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PD_L_Vtlin_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PD_R_Vtlin_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PG_R_Vtlin_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PD_L_Idsat_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PD_R_Idsat_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PG_R_Idsat_M5,A2BZY,2022-08-23,SRAM
PL032S_bit_PG_R_Idlin_M5,A2BZY,2022-08-23,SRAM
PL032S_FET_PD_Vtsat_M5,A2BZY,2022-08-23,SRAM
PL032S_FET_PD_Vtlin_M5,A2BZY,2022-08-23,SRAM
PL032S_IREAD_L_M5,A2BZY,2022-08-23,SRAM
PL032S_IREAD_R_M5,A2BZY,2022-08-23,SRAM
TPLL053_Iread_RP_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPD_Vtsat_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPG_Vtsat_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPD_Vtlin_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPG_Vtlin_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPD_Idsat_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPG_Idsat_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPD_Idlin_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPG_Idlin_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPD_Idoff_M5,A2BZY,2022-08-23,SRAM
TPLL053_FET_RPG_Idoff_M5,A2BZY,2022-08-23,SRAM
P032_FET_PD_Idsat_M5,A2BZY,2022-08-23,SRAM
P032_FET_PG_Idsat_M5,A2BZY,2022-08-23,SRAM
PL032S_FET_PD_Idsat_M5,A2BZY,2022-08-23,SRAM
PL032S_FET_PG_Idsat_M5,A2BZY,2022-08-23,SRAM
P032_FET_PD_Idlin_M5,A2BZY,2022-08-23,SRAM
