parameter,lot_id,date,Owner
EGN_PBTI_150_20F_PreVt_LT,A2BFR,2022-08-16,REL
EGP_NBTI_150_20F_PreVt_LT,A2BFR,2022-08-16,REL
UN_PBTI_PID_6X_08_PreVt_LT,A2BFR,2022-08-16,REL
UP_NBTI_PID_6X_08_PreVt_LT,A2BFR,2022-08-16,REL
EGN_PBTI_PID_6X_150_PreVt_LT,A2BFR,2022-08-16,REL
EGP_NBTI_PID_6X_150_PreVt_LT,A2BFR,2022-08-16,REL
SGP_NBTI_150_08_40F_U_PreVt_LT,A2BFR,2022-08-16,REL
vchnA_V1_DUT4_RES_LT,A2BFR,2022-08-15,BEOL
vchnB_V1_DUT4_RES_LT,A2BFR,2022-08-15,BEOL
vchnA_V1_DUT5_RES_LT,A2BFR,2022-08-15,BEOL
vchnB_V1_DUT5_RES_LT,A2BFR,2022-08-15,BEOL
vchnB_V1_DUT6_RES_LT,A2BFR,2022-08-15,BEOL
ISOVIA_LRG_V1_Res_LT,A2BFR,2022-08-15,BEOL
CMBSRP_M3_DUT1_RES_LT,A27RF,2022-08-03,BEOL
M3_w24s16_4pt~Res_LT,A27RF,2022-08-03,BEOL
PL032S_wl_cap_LT,A27RF,2022-08-03,SRAM
METAL_KELVIN_H1_LT,A289C,2022-07-15,BEOL
WireRes_D8_3W3S_Res_LT,A29AR,2022-07-15,BEOL
WireRes_H1_3W3S_Res_LT,A29AR,2022-07-15,BEOL
TPLL053_1b_RPD_Iginv_LT,A289C,2022-07-15,SRAM
CMBSRP_H1_H_DUT4_RES_LT,A29AR,2022-07-15,BEOL
CMBSRP_H1_H_DUT3_RES_LT,A29AR,2022-07-15,BEOL
CMBSRP_H1_H_DUT2_RES_LT,A29AR,2022-07-15,BEOL
CMBSRP_H1_H_DUT1_RES_LT,A289C,2022-07-15,BEOL
BEOLCAP_D8_1w1s_TOTAL_C0_LT,A25XR,2022-06-14,BEOL
H4_BEOLCAP_total_C0_LT,A25XR,2022-06-14,BEOL
VCHN_N3_chn1_RES_LT,A2516,2022-06-14,BEOL
CMBSRP_D8_DUT1_RES_LT,A2516,2022-06-14,BEOL
WireRes_H4_3W3S_Res_LT,A25XR,2022-06-14,BEOL
BEOL_STK_N3_kelvin~Res_LT,A2516,2022-06-14,BEOL
BEOLCAP_M4_TOTAL_LT,A24D3,2022-05-27,BEOL
BEOLCAP_D8_1w1s_LATERAL_C0_LT,A24D3,2022-05-27,BEOL
VCHN_HB_chn2_RES_LT,A24D3,2022-05-27,BEOL
VNCAP_D5_D8_40_44_DUT2_LT,A24D3,2022-05-27,BEOL
VNCAP_M2_D8_40_44_DUT1_LT,A24D3,2022-05-27,BEOL
CMBSRP_M4_DUT8_RES_LT,A24D3,2022-05-27,BEOL
CMBSRP_D8_DUT2_RES_LT,A24D3,2022-05-27,BEOL
