LotID,WFT_Yield,N,Sail_Yield,DG_Yield
8IQT14011.000,18.5546875,8,91.6186676,85.7439117
8IQT24015.000,18.4027786,9,91.6027298,86.1057129
8IQT25014.000,33.75,10,92.6446686,95.1019058
8IQT23000.001,15.625,1,94.8700027,88.8799973
8IQT24018.000,29.5230255,19,92.1320038,92.5454559
8IQT27004.000,31.8359375,8,96.9179993,93.0512543
8IQT24015.004,15.4296875,8,91.3700027,85.7977753
8IQT25013.000,33.25,25,94.5014267,92.506958
8IQT25013.000,33.25,25,93.2649994,92.506958
8IQT26000.000,21.535326,23,92.0155563,90.053688
8IQT26000.000,21.535326,23,89.3116684,90.053688
8IQT27003.000,29.4921875,8,93.8420029,94.9049988
8IQT28006.000,37.8122101,17,96.46875,93.1063995
8IQT28006.000,37.8122101,17,96.3314285,93.1063995
8IQT24012.000,16.5432777,19,88.6385727,84.9709091
8IQT24012.000,16.5432777,19,89.0975037,84.9709091
8IQT27008.000,34.5052071,12,95.7226715,95.1019058
8IQT27009.000,25.4464283,25,94.2977753,89.488266
8IQT27009.000,25.4464283,25,92.7300034,89.488266
8IQT27012.000,42.0386887,21,97.090004,94.7184982
8IQT27014.000,23.4809036,24,94.0122223,92.9956055
8IQT27014.000,23.4809036,24,93.1583328,92.9956055
8IQT27001.000,30.46875,18,91.276001,88.7586365
8IQT28003.000,32.1614571,24,94.134285,91.5413055
8IQT28003.000,32.1614571,24,97.1125031,91.5413055
8IQT28009.000,34.8958321,6,86.5823059,72.2172699
8IQT27000.000,28.7202377,21,96.2346649,93.2168045
8IQT27015.000,32.8947372,19,93.3293381,90.9382629
8IQT22021.000,17.8571434,14,87.3433304,87.3143463
8IQT24003.000,26.630434,23,94.5014267,91.3292007
8IQT24003.000,26.630434,23,94.5475006,91.3292007
8IQT24009.000,27.9375,25,95.637001,92.8695679
8IQT24009.000,27.9375,25,97.9459991,92.8695679
8IQT24014.000,31.7199249,19,95.5087509,92.6429443
8IQT24014.000,31.7199249,19,94.5014267,92.6429443
8IQT27019.000,24.296875,20,91.1622238,89.246521
8IQT27019.000,24.296875,20,94.8666687,89.246521
8IQT28008.000,18.25284,22,93.0357132,87.7973938
8IQT28008.000,18.25284,22,92.3037491,87.7973938
8IQT28002.000,25.9765625,16,91.1060028,93.112175
8IQT28014.000,27.1484375,8,95.8930054,93.0509109
8IQT28014.000,27.1484375,8,93.3280029,93.0509109
8IQT26019.000,34.5982132,21,96.4053345,92.7482605
8IQT27006.000,23.7847214,18,92.6237488,91.7728043
8IQT27006.000,23.7847214,18,92.3028564,91.7728043
8IQT14020.000,27.3125,25,96.0633316,95.1652222
8IQT28000.000,33.9192696,24,92.8744431,93.5141678
8IQT28000.000,33.9192696,24,93.5849991,93.5141678
8IQT28017.000,21.1781445,24,90.4219971,92.3860855
8IQT28013.000,25.9046059,19,93.2662506,90.5512009
8IQT28013.000,25.9046059,19,94.8671417,90.5512009
8IQT28007.000,22.890625,20,93.4993362,90.9036407
8IQT28010.000,22.961956,23,94.8687515,91.4300003
8IQT28010.000,22.961956,23,93.7671432,91.4300003
8IQT16005.000,22.0216522,23,85.5712509,87.0717392
8IQT16005.000,22.0216522,23,90.1042862,87.0717392
8IQT26021.000,19.791666,24,91.8766632,89.9713058
8IQT26021.000,19.791666,24,91.7322235,89.9713058
