Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A064240SOA6,US,0.08,0,86.1100006,76.9199982,100,N,0,DC09,0,DC11,0,0
6570050PSEC3,9S,0.08,0,66.6600037,,,Y,28.7857143,DC09,0,DC10,1,1
6A05U256SOD2,US,0.08,0,86.1100006,89.7399979,100,M,4,DC11,0,DC09,0,0
6A05Y288SOE5,US,0.08,0,77.7699966,,,Y,32,DC11,0,DC09,0,0
6A05L202SOE5,US,0.08,0,86.1100006,89.7399979,97.1399994,N,0,DC11,0,DC09,0,0
6A06E037SOE5,US,0.08,0,83.3300018,94.8700027,100,M,3,DC09,0,DC10,1,1
6A06F189SOF5,US,0.08,0.02,83.3300018,82.0500031,100,N,0,DC11,0,DC10,1,1
6A063274SOB3,US,0.08,0.02,69.4400024,84.6100006,96.9599991,N,0,DC10,1,DC10,1,1
6A063276SOC4,US,0.08,0.02,63.8800011,87.1699982,97.0500031,Y,16.625,DC10,1,DC10,1,1
6A063308SOA6,US,0.08,0.02,63.8800011,79.4800034,100,N,0,DC10,1,DC10,1,1
6A05L101SOB2,US,0.08,0.02,50,,,M,7.54901961,DC10,1,DC09,0,1
6A05U138SOD5,US,0.08,0.02,88.8799973,89.7399979,100,N,0,DC09,0,DC10,1,1
6A064283SOC0,US,0.08,0.03,69.4400024,82.0500031,96.8700027,Y,14,DC09,0,DC10,1,1
6A05Y286SOD4,US,0.08,0.03,77.7699966,,,M,3,DC11,0,DC09,0,0
6A05U254SOC1,US,0.08,0.05,88.8799973,89.7399979,100,M,3,DC11,0,DC09,0,0
6A061199SOC2,US,0.08,0.05,88.8799973,,,N,0,DC09,0,DC11,0,0
6A05Z063SOG0,9S,0.09,0,86.1100006,89.7399979,100,M,3,DC10,1,DC09,0,1
6A063093SOA4,US,0.09,0,97.2200012,89.7399979,97.1399994,N,0,DC11,0,DC10,1,1
6A063275SOF5,US,0.09,0,86.1100006,79.4800034,100,M,9,DC10,1,DC10,1,1
6A06D125SOF1,US,0.09,0,72.2200012,,,Y,14,DC09,0,DC10,1,1
6A05U128SOG4,US,0.09,0,88.8799973,97.4300003,100,N,0,DC09,0,DC10,1,1
