Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A05Z128SOB0,US,0.17,0.05,88.8799973,,,N,0,DC09,0,DC10,1,1
6A063082SOG4,US,0.17,0.05,94.4400024,89.7399979,100,N,0,DC11,0,DC10,1,1
6A03S034SOC7,US,0.17,0.05,83.3300018,87.1699982,97.0500031,N,1,DC09,0,DC10,1,1
6A06D097SOB6,US,0.17,0.05,88.8799973,,,N,0,DC09,0,DC10,1,1
6A06D092SOC5,US,0.17,0.05,77.7699966,,,M,4,DC09,0,DC10,1,1
6A05T395SOB0,US,0.17,0.05,80.5500031,92.3000031,97.2200012,M,4,DC09,0,DC10,1,1
65600A3ESEB0,9S,0.17,0.05,91.6600037,94.8700027,91.8899994,N,0,DC11,0,DC10,1,1
6A05U298SOA2,US,0.17,0.05,97.2200012,94.8700027,97.2900009,N,0,DC11,0,DC09,0,0
65600A5ZSED3,US,0.17,0.05,83.3300018,94.8700027,78.3700027,N,0,DC11,0,DC10,1,1
6A03U275SOC0,US,0.17,0.05,63.8800011,94.8700027,97.2900009,M,9,DC11,0,DC10,1,1
6A063270SOG4,9S,0.17,0.06,91.6600037,,,N,0,DC11,0,DC09,0,0
65600909SEC4,US,0.17,0.06,88.8799973,92.3000031,94.4400024,N,0,DC10,1,DC09,0,1
6A064091SOH1,9S,0.17,0.06,91.6600037,97.4300003,100,N,0,DC11,0,DC11,0,0
6A05T151SOE5,US,0.17,0.06,97.2200012,87.1699982,100,N,0,DC10,1,DC11,0,1
6A05R050SOA4,US,0.17,0.08,88.8799973,,,N,0,DC09,0,DC09,0,0
6A060220SOF0,US,0.17,0.08,94.4400024,,,N,0,DC10,1,DC10,1,1
6A05L281SOG7,US,0.17,0.11,97.2200012,94.8700027,100,N,0,DC09,0,DC09,0,0
65600A0ESEC2,US,0.17,0.13,80.5500031,89.7399979,94.2799988,M,3,DC09,0,DC09,0,0
6560423SSEB3,US,0.19,0,88.8799973,,,N,0,DC10,1,DC09,0,1
6A067155SOG3,9S,0.19,0,86.1100006,,,N,0,DC09,0,DC10,1,1
6A06F187SOE4,9S,0.19,0.02,94.4400024,89.7399979,100,N,0,DC09,0,DC11,0,0
6A064123SOF3,US,0.19,0.02,88.8799973,,,M,2,DC11,0,DC09,0,0
6A05U259SOB2,US,0.19,0.02,91.6600037,94.8700027,100,N,0,DC09,0,DC10,1,1
6A067152SOB0,9S,0.19,0.02,88.8799973,,,N,0,DC09,0,DC09,0,0
6A064087SOG0,9S,0.19,0.02,86.1100006,,,N,0,DC11,0,DC11,0,0
6A05U174SOE5,US,0.19,0.02,94.4400024,,,N,0,DC09,0,DC11,0,0
65600A84SEC7,9S,0.19,0.02,83.3300018,,,M,3,DC11,0,DC10,1,1
6A052181SOF3,US,0.19,0.02,94.4400024,92.3000031,97.2200012,N,0,DC09,0,DC09,0,0
6A06F216SOE6,9S,0.19,0.03,72.2200012,,,M,2.4,DC09,0,DC10,1,1
6A064040SOC4,9S,0.19,0.03,88.8799973,97.4300003,92.0999985,M,9,DC09,0,DC10,1,1
6A062124SOB4,US,0.19,0.03,88.8799973,84.6100006,100,N,0,DC09,0,DC11,0,0
6A05U046SOA4,9S,0.19,0.03,91.6600037,97.4300003,100,N,0,DC09,0,DC11,0,0
6A05U199SOF3,9S,0.19,0.03,88.8799973,94.8700027,100,N,0,DC09,0,DC11,0,0
6A066267SOD3,9S,0.19,0.03,88.8799973,,,N,0,DC09,0,DC10,1,1
6A066254SOA7,9S,0.19,0.03,86.1100006,89.7399979,91.4199982,N,0,DC11,0,DC10,1,1
6A068184SOB2,9S,0.19,0.03,94.4400024,,,N,0,DC11,0,DC10,1,1
6A06A330SOA2,US,0.19,0.03,86.1100006,89.7399979,100,N,0,DC09,0,DC10,1,1
6A06A357SOC1,US,0.19,0.03,91.6600037,92.3000031,97.2200012,N,0,DC09,0,DC10,1,1
6A069146SOG7,US,0.19,0.03,75,87.1699982,100,M,2,DC11,0,DC11,0,0
6A05R081SOD4,US,0.19,0.03,94.4400024,97.4300003,97.3600006,N,0,DC09,0,DC10,1,1
6A061156SOB0,US,0.19,0.03,88.8799973,,,M,4,DC09,0,DC11,0,0
6A06F373SOD3,US,0.19,0.05,91.6600037,,,N,0,DC09,0,DC11,0,0
6A067242SOD0,9S,0.19,0.05,75,84.6100006,100,Y,13,DC09,0,DC10,1,1
6A05D390SOD2,US,0.19,0.05,91.6600037,94.8700027,97.2900009,N,0,DC09,0,DC10,1,1
6A05R079SOD4,US,0.19,0.05,88.8799973,,,N,0,DC09,0,DC09,0,0
6A05T404SOH0,US,0.19,0.05,89.6100006,,,M,5.5,DC10,1,DC10,1,1
6A05U074SOF4,9S,0.19,0.05,94.4400024,94.8700027,100,N,0,DC09,0,DC11,0,0
6A05R217SOD1,9S,0.19,0.05,100,97.4300003,100,N,0,DC09,0,DC11,0,0
6A068211SOA3,9S,0.19,0.05,94.4400024,,,N,0,DC11,0,DC10,1,1
6A064045SOB5,US,0.19,0.05,88.8799973,89.7399979,97.1399994,N,0,DC11,0,DC09,0,0
6A06A363SOE3,US,0.19,0.05,80.5500031,,,N,0,DC09,0,DC10,1,1
6560090ASEH0,US,0.19,0.05,94.4400024,92.3000031,97.2200012,N,0,DC10,1,DC09,0,1
65600A4NSEG7,US,0.19,0.05,91.6600037,92.3000031,100,N,0,DC11,0,DC09,0,0
6A05S073SOA4,US,0.19,0.05,75,,,N,1.33333333,DC09,0,DC10,1,1
6A062116SOF4,US,0.19,0.06,86.1100006,94.8700027,97.2900009,N,0,DC11,0,DC11,0,0
65600A75SEC5,US,0.19,0.06,91.6600037,89.7399979,97.1399994,N,0,DC09,0,DC10,1,1
6A05U154SOD0,9S,0.19,0.06,83.3300018,89.7399979,100,M,3.33333333,DC09,0,DC11,0,0
6A063262SOD1,9S,0.19,0.06,94.4400024,,,N,0,DC11,0,DC09,0,0
6560093ASEF6,US,0.19,0.06,94.4400024,,,N,0,DC10,1,DC09,0,1
6A05U126SOF3,US,0.19,0.06,94.4400024,100,100,N,0,DC09,0,DC11,0,0
6A06F034SOH0,US,0.19,0.06,97.2200012,92.3000031,94.4400024,N,0,DC09,0,DC09,0,0
6560085HSEB1,US,0.19,0.08,72.2200012,74.3499985,96.5500031,M,10.5,DC09,0,DC09,0,0
6A060261SOF1,US,0.19,0.08,77.7699966,,,Y,13,DC11,0,DC09,0,0
6A05T391SOG1,US,0.19,0.08,87.0100021,,,Y,14,DC10,1,DC10,1,1
65506U7CSEA6,US,0.19,0.08,97.2200012,89.7399979,100,N,0,DC11,0,DC09,0,0
6A064171SOE5,US,0.19,0.08,91.6600037,87.1699982,100,N,0,DC09,0,DC10,1,1
6A064159SOA1,US,0.19,0.08,80.5500031,74.3499985,96.5500031,N,0,DC09,0,DC10,1,1
6A06F043SOH2,US,0.19,0.08,91.6600037,89.7399979,94.2799988,N,0,DC09,0,DC09,0,0
6A05Y165SOF7,US,0.19,0.08,97.2200012,92.3000031,97.2200012,N,0,DC11,0,DC11,0,0
6A05S009SOB7,US,0.19,0.08,97.2200012,92.3000031,100,N,0,DC09,0,DC10,1,1
6A05R122SOC0,US,0.19,0.09,86.1100006,,,N,0,DC09,0,DC10,1,1
6A05T385SOD7,US,0.19,0.09,88.8799973,92.3000031,100,N,0,DC10,1,DC10,1,1
65600A0DSEF3,US,0.19,0.09,83.3300018,92.3000031,100,M,3,DC09,0,DC09,0,0
6A05Z240SOE5,9S,0.19,0.11,75,76.9199982,96.6600037,N,1,DC09,0,DC10,1,1
6A064077SOB4,US,0.19,0.13,69.4400024,,,Y,18,DC11,0,DC09,0,0
6A064121SOE2,US,0.19,0.14,86.1100006,94.8700027,97.2900009,N,0,DC11,0,DC09,0,0
6A05Z252SOC7,US,0.2,0,88.8799973,,,N,0,DC09,0,DC10,1,1
6560276ESEB7,9S,0.2,0.02,97.2200012,,,N,0,DC09,0,{Multiple},0,0
6A067043SOB5,9S,0.2,0.02,86.1100006,84.6100006,100,N,0,DC09,0,DC10,1,1
6A067150SOH2,9S,0.2,0.02,91.6600037,,,N,0,DC09,0,DC10,1,1
6A06F088SOC2,US,0.2,0.02,83.3300018,,,M,2,DC09,0,DC10,1,1
65600A3DSEE1,9S,0.2,0.02,88.8799973,89.7399979,91.4199982,Y,19,DC11,0,DC10,1,1
6A051140SOE7,US,0.2,0.02,88.8799973,94.8700027,94.5899963,N,0,DC09,0,DC09,0,0
6A05Z072SOG2,9S,0.2,0.03,94.4400024,97.4300003,97.3600006,N,0,DC09,0,DC11,0,0
65600A71SEA3,US,0.2,0.03,83.3300018,,,M,5.6,DC09,0,DC10,1,1
6A04Y114SOF5,US,0.2,0.03,91.6600037,97.4300003,100,N,0,DC10,1,DC10,1,1
6A06F094SOE4,US,0.2,0.03,88.8799973,,,N,0,DC09,0,DC10,1,1
6A06C121SOC4,9S,0.2,0.03,91.6600037,92.3000031,100,N,0,DC11,0,DC10,1,1
65600A88SEF1,9S,0.2,0.03,97.2200012,94.8700027,100,N,0,DC09,0,DC10,1,1
6A05Y277SOD2,US,0.2,0.03,91.6600037,,,N,0,DC11,0,DC09,0,0
6A05Q138SOC1,US,0.2,0.03,88.8799973,97.4300003,100,N,0,DC09,0,DC11,0,0
6A061106SOA5,US,0.2,0.05,94.4400024,,,N,0,DC09,0,DC09,0,0
6A062230SOC7,US,0.2,0.05,97.2200012,,,N,0,DC11,0,DC09,0,0
6A06C093SOG4,9S,0.2,0.05,77.7699966,,,M,2,DC09,0,DC10,1,1
6A05Y118SOD4,9S,0.2,0.05,80.5500031,89.7399979,100,M,6.66666667,DC11,0,DC11,0,0
6A05Y076SOA6,9S,0.2,0.05,88.8799973,94.8700027,100,N,0,DC11,0,DC11,0,0
6A04D175SOG7,9S,0.2,0.05,97.2200012,94.8700027,100,N,0,DC11,0,DC09,0,0
6A068212SOE5,9S,0.2,0.05,86.1100006,,,N,0,DC11,0,DC10,1,1
6A05U173SOA3,US,0.2,0.05,80.5500031,,,M,6,DC09,0,DC11,0,0
6A05Y184SOD2,US,0.2,0.05,80.5500031,97.4300003,97.3600006,N,0,DC11,0,DC09,0,0
6A04P301SOF3,US,0.2,0.05,77.7699966,79.4800034,100,Y,19.5555556,DC11,0,DC10,1,1
65600A67SEG5,US,0.2,0.05,77.7699966,92.3000031,97.2200012,M,5,DC11,0,DC10,1,1
6A067226SOD5,9S,0.2,0.06,94.4400024,94.8700027,100,N,0,DC09,0,DC09,0,0
6A069180SOG6,9S,0.2,0.06,91.6600037,97.4300003,100,M,3,DC11,0,DC09,0,0
6A05L272SOG5,US,0.2,0.06,91.6600037,97.4300003,100,N,0,DC09,0,DC09,0,0
6A062278SOD2,US,0.2,0.06,94.4400024,87.1699982,94.1100006,N,0,DC11,0,DC11,0,0
6A05J018SOG1,US,0.2,0.06,91.6600037,89.7399979,100,N,0,DC09,0,DC11,0,0
6A06F092SOD3,US,0.2,0.06,91.6600037,,,N,0,DC09,0,DC10,1,1
6A066261SOA0,9S,0.2,0.06,77.7699966,76.9199982,100,N,0,DC09,0,DC10,1,1
6A064296SOE4,US,0.2,0.06,77.7699966,92.3000031,100,N,0,DC09,0,DC10,1,1
6A053200SOB4,US,0.2,0.06,94.4400024,,,N,0,DC09,0,DC11,0,0
65600A6DSEC7,US,0.2,0.06,83.3300018,,,M,2,DC11,0,DC09,0,0
6A05R018SOB6,US,0.2,0.06,97.2200012,,,N,0,DC09,0,DC09,0,0
6A061148SOF0,US,0.2,0.08,94.4400024,,,N,0,DC10,1,DC09,0,1
6A05Q022SOC4,9S,0.2,0.08,86.1100006,89.7399979,97.1399994,M,5,DC09,0,DC11,0,0
6A05T387SOF0,US,0.2,0.08,89.6100006,,,N,1,DC10,1,DC10,1,1
65600A0TSEH0,US,0.2,0.08,100,92.3000031,97.2200012,N,0,DC09,0,DC09,0,0
6560064ESEA3,US,0.2,0.08,97.2200012,92.3000031,100,N,0,DC10,1,DC11,0,1
65600A7JSED3,US,0.2,0.08,100,,,N,0,DC11,0,DC09,0,0
65600A7PSEG6,US,0.2,0.08,83.3300018,,,N,0,DC11,0,DC09,0,0
6A046100SOA4,US,0.2,0.09,91.6600037,87.1699982,97.0500031,N,0,DC11,0,DC10,1,1
6A062253SOC4,US,0.2,0.09,91.6600037,87.1699982,97.0500031,N,0,DC11,0,DC09,0,0
6A062232SOE0,US,0.2,0.09,88.8799973,89.7399979,100,N,0,DC11,0,DC11,0,0
6A05Y282SOB2,US,0.2,0.09,80.5500031,97.4300003,100,M,2,DC09,0,DC10,1,1
65600A1SSEH2,US,0.2,0.09,88.8799973,,,N,0,DC09,0,DC10,1,1
6560084SSEG4,US,0.2,0.11,72.2200012,79.4800034,96.7699966,Y,17,DC11,0,DC09,0,0
6A067165SOD4,9S,0.22,0,83.3300018,,,N,0,DC09,0,DC09,0,0
6A05Q003SOF1,9S,0.22,0.02,86.1100006,97.4300003,100,M,3,DC09,0,DC11,0,0
6A067039SOA4,9S,0.22,0.02,94.4400024,94.8700027,100,N,0,DC09,0,DC09,0,0
6A067045SOC6,9S,0.22,0.02,83.3300018,,,M,4,DC09,0,DC09,0,0
65600A4TSEC7,US,0.22,0.02,86.1100006,97.4300003,97.3600006,N,0,DC11,0,DC10,1,1
6A05K154SOG5,US,0.22,0.02,94.4400024,97.4300003,100,N,0,DC09,0,DC09,0,0
6A06C184SOF3,9S,0.22,0.03,91.6600037,,,N,0,DC09,0,DC10,1,1
6A06F184SOG4,9S,0.22,0.03,80.5500031,87.1699982,100,M,6.66666667,DC10,1,DC09,0,1
6A062114SOE3,US,0.22,0.03,77.7699966,87.1699982,94.1100006,M,12,DC11,0,DC11,0,0
6A061105SOD6,US,0.22,0.03,94.4400024,,,N,0,DC10,1,DC09,0,1
6A069247SOC7,US,0.22,0.03,83.3300018,92.3000031,97.2200012,M,5,DC11,0,DC10,1,1
6A05U215SOD1,9S,0.22,0.03,97.2200012,,,N,0,DC09,0,DC10,1,1
6A063280SOD5,US,0.22,0.03,83.3300018,,,M,10.5,DC10,1,DC10,1,1
6A05U221SOF3,US,0.22,0.03,91.6600037,87.1699982,97.0500031,N,0,DC11,0,DC10,1,1
6A05R024SOE0,US,0.22,0.03,94.4400024,,,N,0,DC09,0,DC09,0,0
6A067041SOA4,9S,0.22,0.05,94.4400024,94.8700027,100,N,0,DC09,0,DC09,0,0
6A03S026SOG7,US,0.22,0.05,94.4400024,92.3000031,100,M,3,DC09,0,DC10,1,1
6A05Y122SOE5,9S,0.22,0.05,88.8799973,,,N,0,DC11,0,DC11,0,0
6A06C098SOF5,9S,0.22,0.05,97.2200012,,,N,0,DC11,0,DC10,1,1
6A05Z261SOD1,US,0.22,0.05,88.8799973,89.7399979,100,N,0,DC09,0,DC10,1,1
6A05Y175SOD0,US,0.22,0.05,97.2200012,92.3000031,100,N,0,DC10,1,DC10,1,1
6A062228SOC7,US,0.22,0.05,91.6600037,,,N,0,DC11,0,DC09,0,0
6A06C111SOF3,9S,0.22,0.06,91.6600037,,,N,0,DC11,0,DC09,0,0
6560084GSEH1,US,0.22,0.06,91.6600037,92.3000031,100,M,5,DC09,0,DC09,0,0
6A062171SOD7,US,0.22,0.06,91.6600037,,,N,0,DC10,1,DC09,0,1
6A05D391SOA1,US,0.22,0.06,97.2200012,97.4300003,100,N,0,DC09,0,DC10,1,1
6A05Y285SOG5,US,0.22,0.06,97.2200012,100,100,N,0,DC09,0,DC09,0,0
65600A73SEB4,US,0.22,0.06,88.8799973,,,N,0,DC09,0,DC10,1,1
6A067037SOG6,9S,0.22,0.06,80.5500031,92.3000031,100,N,0,DC09,0,DC09,0,0
6A05R103SOE5,US,0.22,0.06,94.4400024,92.3000031,100,N,0,DC10,1,DC09,0,1
6A05S016SOB0,US,0.22,0.06,83.3300018,84.6100006,100,N,0,DC10,1,DC09,0,1
6A064284SOG2,US,0.22,0.06,91.6600037,94.8700027,97.2900009,N,0,DC09,0,DC10,1,1
65600904SED3,US,0.22,0.06,80.5500031,94.8700027,97.2900009,N,0,DC10,1,DC09,0,1
6560090BSED7,US,0.22,0.06,75,94.8700027,97.2900009,N,0,DC10,1,DC09,0,1
6560093DSED6,US,0.22,0.06,91.6600037,,,N,0,DC10,1,DC09,0,1
6570050RSED4,9S,0.22,0.06,63.8800011,,,Y,29,DC11,0,DC10,1,1
6A05Q140SOC1,US,0.22,0.06,97.2200012,94.8700027,100,N,0,DC09,0,DC11,0,0
6560085KSEG4,US,0.22,0.08,88.8799973,94.8700027,97.2900009,N,0,DC09,0,DC09,0,0
6A064017SOE0,9S,0.22,0.08,86.1100006,,,N,0,DC09,0,DC10,1,1
6A069185SOF7,9S,0.22,0.08,80.5500031,,,M,2,DC09,0,DC11,0,0
6A069245SOB6,US,0.22,0.08,80.5500031,92.3000031,97.2200012,M,7,DC11,0,DC10,1,1
6A05G064SOD1,US,0.22,0.08,83.3300018,94.8700027,100,N,0,DC10,1,DC10,1,1
6A05Y280SOA1,US,0.22,0.08,97.2200012,97.4300003,97.3600006,N,0,DC09,0,DC10,1,1
6A05T377SOA4,US,0.22,0.08,88.3099976,92.3000031,97.2200012,M,6,DC10,1,DC10,1,1
6A05L086SOA3,9S,0.22,0.08,88.8799973,94.8700027,100,N,0,DC09,0,DC10,1,1
6A05U133SOE4,US,0.22,0.08,83.3300018,100,100,M,6,DC09,0,DC10,1,1
6Q0DU066SOG7,US,0.22,0.08,77.7699966,84.6100006,100,M,5,DC11,0,DC10,1,1
6A05S013SOD0,US,0.22,0.08,88.8799973,,,M,3,DC09,0,DC10,1,1
6A05M055SOF1,US,0.22,0.08,91.6600037,92.3000031,100,N,0,DC09,0,DC11,0,0
6A064016SOH1,9S,0.22,0.09,88.8799973,,,N,0,DC09,0,DC10,1,1
6A04A267SOB4,US,0.22,0.09,80.5500031,89.7399979,100,M,10.8333333,DC09,0,DC09,0,0
6A05D388SOD2,US,0.22,0.09,97.2200012,79.4800034,96.7699966,N,0,DC10,1,DC10,1,1
6A060021SOD5,US,0.22,0.09,88.8799973,,,N,0,DC09,0,DC09,0,0
6A05R097SOE0,US,0.22,0.09,72.2200012,,,N,1,DC10,1,DC09,0,1
6A06E028SOE3,US,0.22,0.09,97.2200012,94.8700027,100,N,0,DC11,0,DC09,0,0
6A051317SOE5,US,0.22,0.09,91.6600037,97.4300003,97.3600006,N,0,DC09,0,DC11,0,0
6A05Q142SOD2,US,0.22,0.09,94.4400024,89.7399979,97.1399994,N,0,DC09,0,DC11,0,0
6A064244SOD0,US,0.22,0.11,88.8799973,76.9199982,100,M,4,DC09,0,DC10,1,1
6A06D089SOF6,US,0.22,0.11,77.7699966,,,N,0,DC09,0,DC10,1,1
6A06A275SOD4,US,0.22,0.11,86.1100006,92.3000031,100,N,0,DC09,0,DC11,0,0
6A05V302SOA1,US,0.22,0.11,94.4400024,,,N,0,DC09,0,DC09,0,0
6560093ESEA5,US,0.22,0.14,94.4400024,,,N,0,DC11,0,DC11,0,0
6A061153SOD0,US,0.22,0.14,88.8799973,,,N,0,DC10,1,DC11,0,1
6A05Z096SOC6,9S,0.23,0,88.8799973,87.1699982,100,N,0,DC10,1,DC09,0,1
6560275CSED5,9S,0.23,0.02,91.6600037,,,N,0,DC09,0,DC10,1,1
6A06E073SOF5,US,0.23,0.02,77.7699966,89.7399979,94.2799988,M,3,DC11,0,DC09,0,0
6A065200SOF2,9S,0.23,0.03,97.2200012,92.3000031,100,N,0,DC09,0,DC10,1,1
6A06C198SOE6,9S,0.23,0.03,88.8799973,94.8700027,100,N,0,DC09,0,DC10,1,1
6A054023SOD2,9S,0.23,0.03,83.3300018,,,M,5,DC09,0,DC10,1,1
6A04Y131SOB7,9S,0.23,0.03,97.2200012,92.3000031,100,N,0,DC09,0,DC09,0,0
6560064KSED6,US,0.23,0.03,86.1100006,89.7399979,100,N,0,DC11,0,DC09,0,0
65600A39SEB5,9S,0.23,0.03,91.6600037,89.7399979,91.4199982,N,0,DC09,0,DC10,1,1
6A064096SOG2,US,0.23,0.05,94.4400024,89.7399979,97.1399994,N,0,DC09,0,DC10,1,1
6A05X121SOA0,US,0.23,0.05,94.4400024,84.6100006,100,N,0,DC09,0,DC09,0,0
6A060115SOA4,US,0.23,0.05,94.4400024,,,N,0,DC09,0,DC09,0,0
6A05I041SOE2,US,0.23,0.05,89.6100006,94.8700027,97.2900009,N,0,DC10,1,DC10,1,1
65600A22SEE2,US,0.23,0.05,88.8799973,94.8700027,97.2900009,M,3,DC09,0,DC10,1,1
6A05U072SOE3,9S,0.23,0.05,83.3300018,87.1699982,97.0500031,M,4,DC09,0,DC09,0,0
6A05R178SOF6,9S,0.23,0.05,83.3300018,94.8700027,97.2900009,N,0,DC09,0,DC11,0,0
6A064015SOC7,9S,0.23,0.05,97.2200012,,,N,0,DC09,0,DC11,0,0
6A03S052SOD3,9S,0.23,0.05,94.4400024,89.7399979,100,N,0,DC11,0,DC09,0,0
6A05U121SOG2,US,0.23,0.05,72.2200012,94.8700027,100,M,3.6,DC09,0,DC11,0,0
65600A76SEG7,US,0.23,0.05,91.6600037,,,N,0,DC11,0,DC09,0,0
6A05S011SOB7,US,0.23,0.05,88.8799973,87.1699982,100,M,3,DC09,0,DC10,1,1
6A05M100SOE6,US,0.23,0.05,97.2200012,92.3000031,97.2200012,N,0,DC09,0,DC11,0,0
6A067227SOA4,9S,0.23,0.06,91.6600037,94.8700027,100,N,0,DC11,0,DC09,0,0
6A06C288SOG6,9S,0.23,0.06,88.8799973,94.8700027,97.2900009,M,5,DC10,1,DC11,0,1
6A062125SOF6,US,0.23,0.06,88.8799973,97.4300003,97.3600006,N,0,DC11,0,DC11,0,0
6A05D312SOF2,US,0.23,0.06,86.1100006,84.6100006,100,M,3,DC09,0,DC10,1,1
6A05Q272SOB1,US,0.23,0.06,94.4400024,,,N,0,DC09,0,DC10,1,1
6A05W073SOC0,US,0.23,0.06,94.4400024,,,N,0,DC09,0,DC10,1,1
6A05R091SOA5,US,0.23,0.06,86.1100006,92.3000031,100,N,0,DC09,0,DC09,0,0
6A03P291SOG7,9S,0.23,0.06,94.4400024,97.4300003,100,N,0,DC09,0,DC10,1,1
6A064241SOF0,US,0.23,0.06,77.7699966,92.3000031,97.2200012,N,0,DC09,0,DC11,0,0
6A06A306SOE7,US,0.23,0.06,91.6600037,,,N,0,DC09,0,DC10,1,1
6A05Z025SOD7,US,0.23,0.06,86.1100006,87.1699982,100,N,0,DC09,0,DC10,1,1
6A067292SOD3,9S,0.23,0.08,94.4400024,,,N,0,DC11,0,DC10,1,1
6A063035SOE1,US,0.23,0.08,91.6600037,94.8700027,97.2900009,N,0,DC11,0,DC09,0,0
6A05E152SOD2,US,0.23,0.08,94.4400024,94.8700027,97.2900009,N,0,DC09,0,DC10,1,1
6A05X112SOH1,US,0.23,0.08,88.8799973,82.0500031,96.8700027,N,0,DC09,0,DC11,0,0
6A05Q023SOG6,9S,0.23,0.08,91.6600037,97.4300003,97.3600006,N,0,DC11,0,DC11,0,0
6A06F091SOG4,US,0.23,0.08,91.6600037,,,N,0,DC09,0,DC10,1,1
6A05R201SOC5,9S,0.23,0.08,86.1100006,94.8700027,94.5899963,M,3,DC11,0,DC11,0,0
6A066203SOD5,9S,0.23,0.08,91.6600037,82.0500031,96.8700027,N,0,DC11,0,DC10,1,1
6A064139SOF7,US,0.23,0.08,80.5500031,89.7399979,97.1399994,M,7,DC09,0,DC10,1,1
6A064291SOF3,US,0.23,0.08,88.8799973,89.7399979,97.1399994,N,0,DC09,0,DC10,1,1
6A052143SOD2,US,0.23,0.08,88.8799973,94.8700027,100,N,0,DC09,0,DC09,0,0
6A069144SOF6,US,0.23,0.08,88.8799973,94.8700027,100,N,0,DC09,0,DC11,0,0
65600A53SEH2,US,0.23,0.08,88.8799973,89.7399979,100,N,0,DC11,0,DC09,0,0
6A05S198SOA3,US,0.23,0.08,94.4400024,100,100,N,0,DC11,0,DC11,0,0
6A05R051SOE6,US,0.23,0.08,86.1100006,94.8700027,100,N,0,DC09,0,DC10,1,1
6A05Q130SOF0,US,0.23,0.08,91.6600037,94.8700027,100,N,0,DC09,0,DC11,0,0
6A05T317SOD0,9S,0.23,0.09,94.4400024,92.3000031,100,N,0,DC09,0,DC11,0,0
65506V90SEB7,US,0.23,0.09,86.1100006,,,N,0,DC09,0,DC10,1,1
65600A0CSEB1,US,0.23,0.09,88.8799973,97.4300003,94.7300034,M,5,DC09,0,DC09,0,0
6A05E390SOD5,US,0.23,0.09,88.8799973,,,N,0,DC09,0,DC10,1,1
6A04R064SOE2,9S,0.23,0.09,100,,,N,0,DC09,0,DC09,0,0
6A064292SOC2,US,0.23,0.09,94.4400024,94.8700027,100,N,0,DC09,0,DC10,1,1
65600931SEE1,US,0.23,0.09,91.6600037,,,N,0,DC11,0,DC11,0,0
6560086BSEC2,US,0.23,0.11,66.6600037,,,Y,28,DC11,0,DC09,0,0
6A069156SOE0,9S,0.23,0.11,91.6600037,87.1699982,97.0500031,N,0,DC09,0,DC11,0,0
6A067296SOF5,9S,0.23,0.11,91.6600037,,,N,0,DC11,0,DC10,1,1
6Q0IT124SOB4,US,0.23,0.11,94.4400024,,,N,0,DC11,0,DC09,0,0
6A05X125SOC2,US,0.23,0.11,94.4400024,84.6100006,100,N,0,DC09,0,DC09,0,0
6A05Y295SOD6,US,0.23,0.11,94.4400024,,,N,0,DC09,0,DC10,1,1
6A05R167SOE3,US,0.23,0.11,91.6600037,92.3000031,94.4400024,N,0,DC09,0,DC10,1,1
65600A0MSEG6,US,0.23,0.11,94.4400024,,,N,0,DC09,0,DC09,0,0
65600A4VSEE0,US,0.23,0.11,86.1100006,92.3000031,100,N,0,DC09,0,DC10,1,1
6A067198SOA2,US,0.23,0.11,91.6600037,97.4300003,97.3600006,N,0,DC11,0,DC10,1,1
6A05U132SOA2,US,0.23,0.11,88.8799973,87.1699982,100,M,3,DC09,0,DC10,1,1
6A052232SOB0,US,0.23,0.11,83.3300018,89.7399979,100,N,0,DC09,0,DC09,0,0
6A05R080SOG5,US,0.23,0.11,83.3300018,89.7399979,100,M,2,DC09,0,DC10,1,1
6A067002SOB4,9S,0.23,0.13,91.6600037,82.0500031,96.8700027,N,0,DC09,0,DC11,0,0
6A05D389SOA1,US,0.23,0.13,94.4400024,94.8700027,100,N,0,DC09,0,DC10,1,1
6A05U129SOD3,US,0.23,0.13,94.4400024,92.3000031,97.2200012,N,0,DC09,0,DC10,1,1
6A069196SOH2,US,0.23,0.13,83.3300018,100,97.4300003,M,3.75,DC11,0,DC10,1,1
6A05Z139SOC3,US,0.23,0.14,91.6600037,92.3000031,94.4400024,N,0,DC11,0,DC09,0,0
6A069246SOG0,US,0.23,0.14,86.1100006,94.8700027,100,N,0,DC11,0,DC10,1,1
65600A3MSEF4,US,0.23,0.14,91.6600037,92.3000031,100,N,0,DC09,0,DC09,0,0
6A06A356SOF2,US,0.23,0.14,97.2200012,87.1699982,100,N,0,DC09,0,DC10,1,1
6A05R106SOC5,US,0.23,0.2,72.2200012,89.7399979,100,N,0,DC10,1,DC09,0,1
6A05S136SOB6,9S,0.25,0,94.4400024,94.8700027,100,N,0,DC10,1,DC09,0,1
6A068158SOE6,9S,0.25,0.02,97.2200012,,,N,0,DC09,0,DC10,1,1
6A06D077SOA1,US,0.25,0.02,88.8799973,,,N,0,DC09,0,DC11,0,0
