parameter,lot_id,date,Owner
EGP_NBTI_PID_6X_150_GOF_M5,A2BTF,6/13/22,REL
EGP_NBTI_PID_6X_150_Intercept_M5,A2BTF,6/13/22,REL
EGP_NBTI_PID_6X_150_SHIFT1_M5,A2BTF,6/13/22,REL
EGP_NBTI_PID_6X_150_SHIFT2_M5,A2BTF,6/13/22,REL
EGP_NBTI_PID_6X_150_Slope_M5,A2BTF,6/13/22,REL
UN_PBTI_PID_6X_08_PreVt_M5,A2BTF,6/13/22,REL
UN_PBTI_PID_6X_08_Ref_ID_M5,A2BTF,6/13/22,REL
UP_NBTI_PID_6X_08_PreVt_M5,A2BTF,6/13/22,REL
UP_NBTI_PID_6X_08_Ref_ID_M5,A2BTF,6/13/22,REL
,,,
EGP_NBTI_150_20F_GOF_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_GOF_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_GOF_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_GOF_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Intercept_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Intercept_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Intercept_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Intercept_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT1_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT1_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT1_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT1_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT2_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT2_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT2_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_SHIFT2_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Slope_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Slope_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Slope_M5,A2BZZ,5/23/22,REL
EGP_NBTI_150_20F_Slope_M5,A2BZZ,5/23/22,REL
,,,
SGN_PBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGP_NBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGP_NBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGP_NBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
SGP_NBTI_08_40F_U_PreVt_M5,A2BZZ,5/23/22,REL
,,,
SN_HCI_before_M5,A2BZZ,5/23/22,REL
SN_HCI_stress_ileak_ID_M5,A2BZZ,5/23/22,REL
SN_HCI_stress_ileak_IS_M5,A2BZZ,5/23/22,REL
SN_HCI_before_095_M5,A2BZZ,5/23/22,REL
SN_HCI_after_095_M5,A2BZZ,5/23/22,REL
,,,
SGN_PBTI_08_40F_U_Ref_ID_M5,A2BZZ,5/23/22,REL
SGP_NBTI_08_40F_U_Ref_ID_M5,A2BZZ,5/23/22,REL
SGP_NBTI_150_08_40F_U_Ref_ID_M5,A2BZZ,5/23/22,REL
,,,
P032_4FET_PD_DIBL_M5,A2BZZ,5/23/22,SRAM
P032_4FET_PG_DIBL_M5,A2BZZ,5/23/22,SRAM
,,,
VR_RP_27_20_8_54_Vbd_i0_M5,A2B0Z,5/14/22,REL
VR_RP_27_20_8_54_Vbd_i1_M5,A2B0Z,5/14/22,REL
VR_RP_27_20_8_54_Vbd_lk1_M5,A2B0Z,5/14/22,REL
,,,
9T_V3BARPWR_4pt~Res_M5,A2B0Z,5/14/22,FEOLMOL_HOL
,,,
SGP_NBTI_150_08_40F_U_PreVt_M5,A2B0Z,5/14/22,REL
,,,
SGP_NBTI_150_08_40F_U_GOF_M5,A2ARP,5/7/22,REL
SGP_NBTI_150_08_40F_U_Intercept_M5,A2ARP,5/7/22,REL
SGP_NBTI_150_08_40F_U_SHIFT1_M5,A2ARP,5/7/22,REL
,,,
EGN_PBTI_PID_6X_150_PreVt_M5,A2APU,5/5/22,REL
EGP_NBTI_PID_6X_150_PreVt_M5,A2APU,5/5/22,REL
SGP_NBTI_150_08_40F_U_VSENSE_M5,A2B3P,5/5/22,REL
,,,
P032_bit_PD_L_Vtsat_M5,A2AUA,5/2/22,SRAM
P032_bit_PD_L_Vtlin_M5,A2AUA,5/2/22,SRAM
P032_FET_PD_Vtsat_M5,A2AUA,5/2/22,SRAM
P032_FET_PG_Vtsat_M5,A2AUA,5/2/22,SRAM
P032_FET_PD_Vtlin_M5,A2AUA,5/2/22,SRAM
PL032S_bit_PD_L_Vtsat_M5,A2AUA,5/2/22,SRAM
PL032S_bit_PD_R_Vtsat_M5,A2AUA,5/2/22,SRAM
PL032S_bit_PD_L_Vtlin_M5,A2AUA,5/2/22,SRAM
PL032S_bit_PD_R_Vtlin_M5,A2AUA,5/2/22,SRAM
PL032S_FET_PG_Vtsat_M5,A2AUA,5/2/22,SRAM
PL032S_FET_PG_Vtlin_M5,A2AUA,5/2/22,SRAM
TPLL053_FET_RPD_Vtsat_M5,A2AUA,5/2/22,SRAM
TPLL053_FET_RPD_Vtlin_M5,A2AUA,5/2/22,SRAM
,,,
VR_EN_42_40_150_230_Lk18_M5,A2AUA,5/2/22,REL
,,,
EGN_PBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_Ref_IG_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_Ref_IG_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_Ref_IG_M5,A2AUA,5/2/22,REL
EGN_PBTI_150_20F_Ref_IG_M5,A2AUA,5/2/22,REL
EGP_NBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGP_NBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGP_NBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
EGP_NBTI_150_20F_PreVt_M5,A2AUA,5/2/22,REL
,,,
EN_HCI_stress_ileak_IG_M5,A2AUA,5/2/22,REL
SP_HCI_before_095_M5,A2AUA,5/2/22,REL
,,,
ROL9T4FMDBMOS~Freq_060_M5,A2AUA,5/2/22,Device
ROL9T4FMDBMOS~Freq_060_M5,A2AUA,5/2/22,Device
ROL9T4FMDBMOS~Freq_060_M5,A2AUA,5/2/22,Device
ROL9T4FMDBMOS~Freq_060_M5,A2AUA,5/2/22,Device
ROL9T4FMDBMOS~Freq_075_M5,A2AUA,5/2/22,Device
,,,
NL9T4FMDBREF~Vtsat_100n_M5,A2AUA,5/2/22,Device
NR9T4FMDBREF~Vtsat_100n_M5,A2AUA,5/2/22,Device
PR9T4FMDBREF~Vtsat_100n_M5,A2AUA,5/2/22,Device
,,,
P032_1b_PD_Vtsat_avg_M5,A2AUA,5/2/22,SRAM
PL032S_1b_PD_Vtsat_avg_M5,A2AUA,5/2/22,SRAM
M032_40FIN_B_PD_Vtsat_M5,A2AUA,5/2/22,SRAM
M032_40FIN_C_PD_Vtsat_M5,A2AUA,5/2/22,SRAM
PL032S_40FIN_D_PD_Vtsat_M5,A2AUA,5/2/22,SRAM
,,,
vchnA_V3_DUT1_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT1_RES_M5,A2AD4,4/29/22,BEOL
vchnA_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnA_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnA_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnA_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT4_RES_M5,A2AD4,4/29/22,BEOL
vchnA_V3_DUT2_RES_M5,A2AD4,4/29/22,BEOL
vchnB_V3_DUT2_RES_M5,A2AD4,4/29/22,BEOL
,,,
P032_bit_PD_R_Vtsat_M5,A2AD4,4/29/22,SRAM
P032_SNM_M5,A2AD4,4/29/22,SRAM
PL032S_bit_PG_L_Vtsat_M5,A2AD4,4/29/22,SRAM
PL032S_bit_PU_L_Idsat_M5,A2AD4,4/29/22,SRAM
PL032S_bit_PU_R_Idsat_M5,A2AD4,4/29/22,SRAM
PL032S_FET_PD_Vtsat_M5,A2AD4,4/29/22,SRAM
PL032S_FET_PD_Vtlin_M5,A2AD4,4/29/22,SRAM
TPLL053_FET_RPG_Vtsat_M5,A2AD4,4/29/22,SRAM
TPLL053_FET_RPG_Vtlin_M5,A2AD4,4/29/22,SRAM
PL032S_FET_PU_Idsat_M5,A2AD4,4/29/22,SRAM
PL032S_FET_PU_Idlin_M5,A2AD4,4/29/22,SRAM
,,,
RVTP_TK_COV_M5,A2AD4,4/29/22,SRAM
,,,
EN_HCI_before_M5,A2AD4,4/29/22,REL
SN_HCI_after_lin_M5,A2AD4,4/29/22,REL
SP_HCI_stress_ileak_IB_M5,A2AD4,4/29/22,REL
,,,
PL032S_1b_PG_Vtsat_avg_M5,A2AD4,4/29/22,SRAM
PL032S_1b_PU_Idsat_avg_M5,A2AD4,4/29/22,SRAM
