parameter,lot_id,date,Owner
P032_FET_PD_Vtlin_LT,A2AF5,7/1/22,SRAM
P032_FET_PG_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PD_L_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PG_L_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PG_L_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PD_R_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PD_R_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PG_R_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_bit_PG_R_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_1b_PD_Vtsat_avg_LT,A2AF5,7/1/22,SRAM
PL032S_1b_PG_Vtsat_avg_LT,A2AF5,7/1/22,SRAM
PL032S_IREAD_R_LT,A2AF5,7/1/22,SRAM
PL032S_4FET_PD_Iboff_LT,A2AF5,7/1/22,SRAM
PL032S_FET_PD_Vtlin_LT,A2AF5,7/1/22,SRAM
PL032S_4FET_PG_Iboff_LT,A2AF5,7/1/22,SRAM
,,,
TPLL053_1b_RPD_Iboff_LT,A2AF5,7/1/22,SRAM
TPLL053_1b_RPD_Isoff_LT,A2AF5,7/1/22,SRAM
TPLL053_1b_RPD_Idoff_LT,A2AF5,7/1/22,SRAM
TPLL053_1b_RPD_Vtlin_LT,A2AF5,7/1/22,SRAM
TPLL053_1b_RPG_Isoff_LT,A2AF5,7/1/22,SRAM
TPLL053_1b_RPG_Vtlin_LT,A2AF5,7/1/22,SRAM
TPLL053_4FET_RPD_Iboff_LT,A2AF5,7/1/22,SRAM
,,,
DLW_N_EG_200_280_DDB_4_Ioffs@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_200_280_DDB_4_Ilow@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_200_280_DDB_4_Idsat@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Vtsat@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Vta@0.9V_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Ioffs@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Ilow@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EG_150_230_DDB_4_Idsat@1.8V_LT,A2AF5,7/1/22,Device
DLW_N_EGV_100_180_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_EGV_100_180_DDB_4_Ioffs@1.5V_LT,A2AF5,7/1/22,Device
DLW_N_EGV_100_180_DDB_4_Ilow@1.5V_LT,A2AF5,7/1/22,Device
DLW_N_EGV_100_180_DDB_4_Idsat@1.5V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Vtsat@1.2V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Vta@0.6V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Ioffs@1.2V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Ilow@1.2V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Idsat@1.2V_LT,A2AF5,7/1/22,Device
DLW_N_EGU_80_160_DDB_4_Ioffd@1.2V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_200_280_DDB_4_Ioffd@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Ioffs@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_150_230_DDB_4_Ioffd@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Ioffs@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_100_180_DDB_4_Ioffd@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Ioffs@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_70_150_DDB_4_Ioffd@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_40_100_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Vtsat@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Vtlin_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Vta@0.375_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Ioffs@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Ilow@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Ihigh@0.75V_LT,A2AF5,7/1/22,Device
DLW_N_LVT_30_90_DDB_4_Idsat@0.75V_LT,A2AF5,7/1/22,Device
,,,
egncap_0.15_Cgd@Vgd=0V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=0.2V_1M_LT,A2AF5,7/1/22,Device
ncap_0.15_Cgd@Vgd=0.3V_1M_LT,A2AF5,7/1/22,Device
,,,
CAP_N_LVT_20_150_230_24500_Ij_LT,A2AF5,7/1/22,Device
,,,
PR9T4FMDBREF~Vtsat_100n_LT,A2AF5,7/1/22,Device
PR9T4FMDBREF~Vtlin_100n_LT,A2AF5,7/1/22,Device
PR9T4FMDBREF~Vta_2_LT,A2AF5,7/1/22,Device
,,,
NL9T4FMDBREF~Vtlin_100n_LT,A2AF5,7/1/22,Device
NL9T4FMDBREF~Vta_2_LT,A2AF5,7/1/22,Device
,,,
ROR9T4FMDBMOS~Freq_075_LT,A2AF5,7/1/22,Device
,,,
EN_HCI_after_LT,A2AF5,7/1/22,REL
,,,
EGN_PBTI_150_20F_VSENSE_LT,A2AF5,7/1/22,REL
EGN_PBTI_PID_6X_150_VSENSE_LT,A2AF5,7/1/22,REL
EGN_PBTI_PID_6X_150_PreVt_LT,A2AF5,7/1/22,REL
EGP_NBTI_PID_6X_150_PreVt_LT,A2AF5,7/1/22,REL
,,,
Cap_P_type_RVT_3_8_60_MDB_54000_Ij@0.75V_LT,A2AF5,7/1/22,Device
,,,
CMBSRP_G1_H_DUT1_RES_LT,A2AF5,7/1/22,BEOL
CMBSRP_D8_DUT3_RES_LT,A2AF5,7/1/22,BEOL
,,,
ISOVIA_LRG_S7_Res_LT,A2AF5,7/1/22,BEOL
,,,
OI2_wide_4000_4pt~Res_LT,A2AF5,7/1/22,BEOL
,,,
egncap_0.15_Cgd@Vgd=0.1V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=0.25V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=0.3V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=0.4V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=0.5V_1M_LT,A2AF5,7/1/22,Device
egncap_0.15_Cgd@Vgd=-0.1V_1M_LT,A2AF5,7/1/22,Device
,,,
ncap_0.15_Cgd@Vgd=0.25V_1M_LT,A2AF5,7/1/22,Device
ncap_0.15_Cgd@Vgd=0.2V_1M_LT,A2AF5,7/1/22,Device
ncap_0.15_Cgd@Vgd=0.4V_1M_LT,A2AF5,7/1/22,Device
,,,
M032_40FIN_A_PD_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_40FIN_A_PD_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_40FIN_B_PD_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_40FIN_D_PD_Vtsat_LT,A2AF5,7/1/22,SRAM
PL032S_40FIN_E_PD_Vtsat_LT,A2AF5,7/1/22,SRAM
,,,
QMETAL_M1~BV_LT,A29TV,6/16/22,REL
,,,
EN_HCI_stress_ileak_IG_LT,A29TV,6/16/22,REL
,,,
EGN_PBTI_150_20F_Ref_IG_LT,A29TV,6/16/22,REL
UN_PBTI_PID_6X_08_Ref_IG_LT,A29TV,6/16/22,REL
,,,
SGP_NBTI_150_08_40F_U_SHIFT1_LT,A29TV,6/16/22,REL
,,,
SN_HCI_before_lin_095_LT,A29TV,6/16/22,REL
SN_HCI_stress_ileak_IG_LT,A29TV,6/16/22,REL
SN_HCI_after_lin_095_LT,A29TV,6/16/22,REL
,,,
vchnA_V0_DUT2_RES_LT,A29TV,6/14/22,BEOL
vchnB_V0_DUT2_RES_LT,A29TV,6/14/22,BEOL
,,,
WireRes_M1_3W3S_V_Res_LT,A29TV,6/14/22,BEOL
WireRes_M1_3W3S_H_Res_LT,A29TV,6/14/22,BEOL
,,,
ISOVIA_ISO_N2_LT,A29TV,6/14/22,BEOL
ISOVIA_BAR_V0_Res_LT,A29TV,6/14/22,BEOL
,,,
BEOL_STK_V0_kelvin~Res_LT,A29TV,6/14/22,BEOL
,,,
9T_V0RTGT_c_4pt~Res_LT,A29TV,6/14/22,BEOL
,,,
TPLL053_RP_bl_cap_LT,A29TV,6/14/22,SRAM
,,,
DLW_N_EG_200_280_DDB_4_Vtlin_LT,A29TV,6/14/22,Device
,,,
UP_NBTI_PID_6X_08_LKG_LT,A29TV,6/14/22,REL
,,,
VR_EN_42_40_150_230_Lk18_LT,A29TV,6/14/22,REL
VR_EN_42_40_150_230_VST1_LT,A29TV,6/14/22,REL
,,,
vchnA_V0_DUT3_RES_LT,A29TV,6/14/22,BEOL
vchnB_V0_DUT3_RES_LT,A29TV,6/14/22,BEOL
